Date,Economic affairs,Education,Elementary and secondary,Federal,General public service,Gross expenditures,Health,Health (net),Higher,Housing and community services,Income security,Less: Sales to other sectors,Libraries and other,National defense,Other economic affairs,Public order and safety,Recreation and culture,Space,State and local,Transportation
1992-01-01,0.3933333333333333,0.26666666666666666,0.3,-0.7,0.19000000000000003,0.31,0.14500000000000002,0.05,0.09,-0.006666666666666667,0.14333333333333334,-0.26,0.0,-1.47,0.30333333333333334,0.17666666666666667,0.006666666666666667,-0.01,1.17,0.09333333333333334
1993-01-01,0.11333333333333334,0.21333333333333335,0.02,-1.54,-0.13,0.26,0.09,-0.03,0.27,-0.06,0.02666666666666666,-0.29,0.02,-1.54,-0.06,0.2733333333333333,-0.006666666666666667,-0.02,0.72,0.18666666666666668
1994-01-01,0.06666666666666667,0.6,0.53,-1.53,0.07333333333333333,0.15,0.08,-0.06,0.31,-0.10666666666666667,0.12,-0.21,0.03,-1.41,-0.08666666666666667,0.19999999999999998,0.013333333333333334,-0.08,1.61,0.20666666666666667
1995-01-01,-0.16666666666666666,0.8566666666666668,1.02,-1.09,0.12666666666666668,0.13,-0.03,-0.12,0.21,0.013333333333333334,0.03333333333333333,-0.25,0.04,-1.1,0.0,0.24,0.03,-0.04,1.6,-0.13999999999999999
1996-01-01,0.02,0.52,0.64,-0.48,-0.09000000000000001,-0.06,0.05500000000000001,-0.03,0.09,0.07333333333333333,0.013333333333333334,0.03,0.04,-0.42,-0.04666666666666667,0.3,0.03333333333333333,0.05,1.41,0.04
1997-01-01,0.16666666666666666,0.7266666666666667,0.82,-0.32,0.2833333333333333,-0.02,0.025,-0.16,0.24,0.02666666666666667,0.10333333333333333,-0.14,0.02,-0.69,0.06,0.24666666666666667,0.04666666666666667,0.0,1.96,0.09999999999999999
1998-01-01,-0.04,0.8266666666666667,0.9,-0.33,0.4033333333333333,0.11,0.16,-0.06,0.28,0.049999999999999996,0.19999999999999998,-0.17,0.04,-0.5,-0.15333333333333335,0.38000000000000006,0.036666666666666674,-0.09,2.76,0.16666666666666666
1999-01-01,0.45333333333333337,0.6266666666666666,0.74,0.65,0.3066666666666667,0.26,0.14500000000000002,0.17,0.13,0.02666666666666667,0.08666666666666667,-0.09,0.04,0.31,0.22666666666666668,0.2966666666666667,0.013333333333333334,-0.03,2.62,0.25333333333333335
2000-01-01,0.3,0.7400000000000001,0.77,0.1,-0.026666666666666672,0.17,0.19,-0.1,0.26,-0.10666666666666667,0.09333333333333334,-0.27,0.07,-0.2,0.15333333333333335,0.19333333333333333,0.06666666666666667,0.0,1.72,0.15333333333333335
2001-01-01,0.2966666666666667,0.6466666666666666,0.55,1.36,0.38666666666666666,0.39,0.225,-0.09,0.34,0.08,0.15333333333333335,-0.48,0.05,0.7,0.013333333333333336,0.31,0.06,0.03,2.41,0.2733333333333333
2002-01-01,0.45999999999999996,0.20000000000000004,0.43,2.55,0.27999999999999997,0.36,0.425,0.33,-0.17,0.09999999999999999,0.18666666666666668,-0.03,0.02,1.59,0.17333333333333334,0.24666666666666667,0.043333333333333335,-0.01,1.9,0.29333333333333333
2003-01-01,0.026666666666666672,0.006666666666666667,0.14,2.35,-0.13,0.06,0.395,0.15,-0.12,0.043333333333333335,-0.023333333333333334,0.09,0.0,1.81,-0.09666666666666668,-0.04666666666666667,-0.03333333333333333,0.01,-0.3,0.11
2004-01-01,-0.14666666666666667,0.20666666666666667,0.07,1.61,0.10000000000000002,0.1,0.07,0.08,0.24,-0.02666666666666667,-0.09333333333333334,-0.02,0.0,1.33,-0.013333333333333334,0.043333333333333335,-0.02,0.02,-0.08,-0.14333333333333334
2005-01-01,-0.27666666666666667,0.09333333333333334,0.06,0.76,0.03666666666666667,0.07,0.15,0.2,0.07,-0.03333333333333333,0.06666666666666667,0.13,0.0,0.55,-0.08,0.07333333333333333,0.0,-0.01,-0.01,-0.18666666666666668
2006-01-01,0.06,0.26666666666666666,0.3,0.9,0.11333333333333334,0.13,0.065,0.0,0.16,-0.02,0.13333333333333333,-0.13,-0.02,0.39,0.10666666666666667,0.18000000000000002,0.013333333333333334,-0.02,0.68,-0.03333333333333333
2007-01-01,0.03333333333333333,0.39999999999999997,0.2,0.74,-0.013333333333333336,0.38,0.255,0.25,0.43,0.02,-0.21,-0.13,0.0,0.69,0.13,0.22666666666666666,0.02666666666666667,0.05,1.05,-0.13333333333333333
2008-01-01,-0.08666666666666667,0.16,-0.03,2.37,0.04666666666666667,0.23,0.30500000000000005,0.07,0.29,0.04666666666666667,-0.04,-0.17,-0.02,1.67,-0.02,0.21333333333333335,0.006666666666666667,0.04,0.15,-0.09999999999999999
2009-01-01,0.33,0.16333333333333333,0.0,2.41,0.3466666666666667,0.25,0.4,0.06,0.21,0.06666666666666667,0.04,-0.19,0.02,1.43,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.02,1.18,0.14666666666666667
2010-01-01,0.13,-0.4533333333333333,-0.76,1.6,-0.06,0.0,0.1,-0.09,0.09,-0.043333333333333335,-0.030000000000000002,-0.09,-0.01,0.75,0.19666666666666666,-0.11,-0.023333333333333334,-0.02,-1.69,-0.05333333333333334
2011-01-01,-0.5466666666666666,-0.41333333333333333,-0.75,-1.11,-0.2866666666666667,-0.07,0.03,-0.16,0.15,-0.08,-0.13666666666666666,-0.09,-0.03,-0.56,-0.35333333333333333,-0.19000000000000003,-0.06666666666666667,-0.06,-2.08,-0.14666666666666667
2012-01-01,-0.16,-0.16,-0.34,-0.78,-0.09000000000000001,-0.02,0.04,-0.08,0.13,-0.09999999999999999,-0.04,-0.06,-0.03,-0.9,-0.03333333333333333,-0.19333333333333333,-0.036666666666666674,0.0,-1.29,-0.12
2013-01-01,-0.22333333333333336,0.06333333333333334,0.0,-2.22,-0.09333333333333334,0.15,-0.05500000000000001,-0.03,0.11,-0.05333333333333334,0.043333333333333335,-0.17,-0.02,-1.69,-0.13999999999999999,-0.15,-0.013333333333333334,-0.02,-0.18,-0.06666666666666667
2014-01-01,0.03333333333333333,0.12666666666666668,0.15,-0.97,-0.10333333333333333,0.13,0.019999999999999997,-0.15,0.06,-0.03333333333333333,0.02666666666666667,-0.28,-0.01,-0.98,-0.11666666666666665,0.06,0.006666666666666667,0.02,0.11,0.13333333333333333
2015-01-01,0.41,0.6,0.74,0.02,0.17666666666666667,0.39,0.24,0.1,0.15,0.03666666666666666,0.01333333333333333,-0.29,-0.01,-0.48,0.1366666666666667,0.20666666666666667,0.04666666666666667,0.02,2.02,0.26
2016-01-01,0.15666666666666665,0.5766666666666667,0.72,0.22,0.006666666666666667,0.54,0.30000000000000004,0.32,0.15,0.02,0.07333333333333333,-0.22,-0.01,-0.11,0.05333333333333334,0.18000000000000002,0.06,0.02,1.74,0.08666666666666667
2017-01-01,0.02,0.16333333333333333,0.27,0.18,0.04,0.24,-0.17,0.0,-0.01,0.006666666666666667,0.06,-0.24,-0.01,0.21,-0.03,0.04666666666666667,0.0033333333333333335,0.0,0.37,0.05333333333333334
2018-01-01,0.20666666666666667,0.06333333333333334,0.11,1.29,0.02666666666666667,0.31,0.2,0.08,-0.03,0.03333333333333333,0.16666666666666666,-0.23,0.02,0.77,0.12,0.15666666666666665,0.006666666666666667,0.03,0.71,0.06666666666666667
2019-01-01,0.26,0.4266666666666667,0.47,1.44,0.2333333333333333,0.63,0.49,0.42,0.1,0.016666666666666666,0.10666666666666667,-0.21,0.06,1.19,0.03666666666666666,0.25333333333333335,0.05333333333333334,0.02,2.47,0.20666666666666667
2020-01-01,0.5333333333333333,-0.24,-0.27,2.33,0.5333333333333333,0.56,1.025,0.71,-0.12,0.01,0.06666666666666667,0.15,0.02,0.66,0.47333333333333333,-0.006666666666666667,-0.013333333333333334,0.03,1.04,0.03666666666666667
2021-01-01,-0.26,-0.09333333333333334,0.03,0.69,0.16333333333333333,0.2,0.6799999999999999,-0.32,-0.17,-0.12,0.07333333333333333,-0.51,-0.01,-0.22,0.08,-0.09666666666666668,-0.05333333333333334,0.0,-0.97,-0.34
2022-01-01,-0.7066666666666667,0.21,0.1,-1.23,0.3,0.21,0.26,-0.22,0.22,-0.09333333333333334,0.03333333333333333,-0.43,-0.01,-0.85,-0.5533333333333333,-0.006666666666666665,-0.02666666666666667,0.01,0.11,-0.16
2023-01-01,0.7233333333333333,0.9,0.95,1.09,0.19999999999999998,0.29,-0.255,0.13,0.37,0.08,0.006666666666666668,-0.17,0.03,0.69,0.37999999999999995,0.31666666666666665,0.02666666666666667,0.03,2.77,0.32666666666666666
