Date,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross private domestic investment,Imports,Intellectual property products,National defense,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1986-07-01,22.911,20.822,17.856,79.403,35.077,24.974999999999998,68.885,45.24,33.76,20.815,15.32,97.812,52.41,50.571,26.585,42.819,77.403,31.171000000000003,61.156,86.514
1986-10-01,22.548,21.058,18.523,78.474,35.349,25.30366666666667,68.6,45.483,33.861,20.977,15.477,95.393,53.696,50.983,26.842,43.082,77.613,31.468,61.362,87.042
1987-01-01,21.211,20.331,18.539,78.983,34.738,24.900000000000002,69.003,45.821,34.774,20.854,15.577,96.974,52.608,51.049,26.208,43.122,77.48,32.232,61.687,85.006
1987-04-01,22.08,20.925,19.303,80.058,35.27,25.555333333333333,69.538,46.315,34.792,21.376,15.701,99.081,52.143,51.439,26.736,43.71,77.746,33.01166666666666,61.824,86.005
1987-07-01,22.993,21.478,20.141,79.948,35.88,26.219666666666665,69.611,46.716,34.798,21.792,15.883,100.2,50.19,51.481,27.479,44.209,77.104,33.32033333333333,62.034,89.588
1987-10-01,22.372,21.079,20.892,81.296,35.865,26.469333333333335,70.654,47.518,37.169,22.293,16.134,100.486,53.138,51.544,27.445,44.302,77.23,34.225,62.854,91.29
1988-01-01,23.43,21.738,22.053,78.966,35.886,27.189999999999998,70.065,47.764,35.384,22.188,16.373,98.98,49.564,52.1,27.664,45.085,75.855,34.541333333333334,63.546,87.846
1988-04-01,23.439,22.279,22.671,78.376,36.588,27.397666666666666,70.274,48.392,36.227,21.933,16.667,98.43,48.912,52.514,28.283,45.418,76.794,34.688,64.346,89.67
1988-07-01,23.133,22.519,23.117,78.001,36.759,27.677333333333333,70.282,48.675,36.429,22.45,17.038,97.662,49.119,52.876,28.46,45.822,76.839,35.37866666666667,64.637,88.46
1988-10-01,23.732,22.806,23.823,80.161,37.194,28.399,71.646,49.324,36.985,23.134,17.714,99.659,51.536,53.428,28.856,46.343,77.336,35.800666666666665,65.415,88.238
1989-01-01,23.627,23.078,24.534,78.695,37.526,28.600666666666665,71.33,49.825,38.24,23.242,18.182,96.935,51.942,53.669,29.318,46.558,76.588,36.51833333333334,65.941,89.658
1989-04-01,23.942,23.575,25.609,80.297,37.574,29.137333333333334,72.427,50.205,37.87,23.352,18.658,98.617,53.427,53.751,29.715,46.775,74.187,36.798,66.669,88.645
1989-07-01,24.484,24.038,25.87,80.958,38.231,29.355666666666664,73.078,50.577,37.53,23.32,19.176,99.605,53.603,54.29,30.47,47.228,73.844,37.28666666666667,67.312,91.75
1989-10-01,23.74,23.381,26.262,80.582,37.734,29.53933333333333,73.444,50.677,37.252,23.742,19.713,98.337,54.549,54.905,30.163,47.433,72.275,37.80466666666667,68.213,91.185
1990-01-01,24.742,23.489,27.402,81.922,38.18,30.346,74.619,51.231,37.621,24.495,20.122,99.495,56.171,54.834,30.55,47.832,72.915,38.66433333333333,69.267,93.189
1990-04-01,23.924,22.774,27.743,82.028,37.424,30.259,74.737,51.416,37.633,24.454,20.472,98.906,57.315,54.894,30.152,47.978,70.04,39.14566666666666,69.394,92.733
1990-07-01,23.682,23.1,27.953,81.668,37.117,30.26,74.856,51.451,36.904,24.355,20.559,97.782,58.093,54.983,30.365,48.168,66.274,39.414,69.854,92.396
1990-10-01,23.03,22.758,28.199,81.767,36.161,29.820333333333334,75.356,50.982,34.839,23.702,20.94,98.368,57.469,54.431,29.888,47.802,62.45,39.522666666666666,70.637,88.236
1991-01-01,22.395,21.94,28.371,82.701,35.165,29.892,75.806,50.744,33.68,23.432,21.284,99.825,57.633,54.457,29.289,47.622,59.159,38.68266666666667,70.743,86.344
1991-04-01,22.508,21.799,29.406,83.04,35.27,30.287333333333333,76.114,51.139,33.68,23.848,21.764,99.869,58.411,54.777,29.141,48.017,60.98,39.864,71.028,83.988
1991-07-01,22.854,22.131,30.102,81.942,35.313,30.877666666666666,75.901,51.398,34.347,24.519,21.841,97.765,58.79,54.869,28.89,48.256,63.042,40.00033333333334,71.441,78.526
1991-10-01,22.481,22.027,30.78,79.893,35.466,31.127333333333336,75.345,51.577,35.565,25.061,22.441,93.566,59.914,54.397,28.874,48.232,64.289,40.522666666666666,71.945,76.911
1992-01-01,23.363,21.853,31.336,80.188,35.854,31.777,76.013,52.194,34.908,25.243,22.724,93.053,61.412,55.207,28.761,49.135,67.966,40.59766666666667,72.872,75.915
1992-04-01,23.526,23.115,31.351,79.98,37.032,32.035666666666664,75.866,52.76,36.882,25.658,23.011,92.603,61.564,55.439,29.691,49.468,70.292,40.55266666666666,72.766,75.928
1992-07-01,24.028,23.639,32.016,81.105,37.457,32.661,76.35,53.282,37.175,26.063,23.149,94.181,62.017,55.77,30.145,49.999,70.321,40.67633333333333,72.797,76.629
1992-10-01,24.505,24.509,32.176,81.164,38.552,33.135333333333335,76.341,53.837,38.309,26.687,23.528,93.188,63.639,56.329,30.935,50.595,73.006,41.04233333333334,72.742,77.649
1993-01-01,24.743,24.974,32.248,78.509,38.841,33.372,75.393,53.927,39.212,27.264,23.824,89.526,62.459,56.385,31.242,50.789,73.056,41.29333333333333,72.996,76.617
1993-04-01,25.546,25.974,32.633,77.685,39.539,33.931000000000004,75.4,54.241,39.438,27.828,24.064,88.343,62.158,56.833,31.856,51.251,74.031,41.626,73.586,75.336
1993-07-01,25.831,26.273,32.546,77.393,40.161,34.107,75.508,54.5,39.17,28.194,24.199,87.924,62.051,57.396,32.113,51.821,76.801,42.136,73.973,75.52
1993-10-01,26.452,27.72,33.595,77.525,41.773,35.113,75.774,55.241,41.228,29.327,24.205,88.165,62.024,57.795,33.271,52.276,80.739,42.752,74.333,77.819
1994-01-01,27.082,28.506,33.924,74.817,42.267,35.59766666666667,74.837,55.777,42.799,30.01,24.432,83.887,61.603,58.569,33.623,52.874,81.945,43.49699999999999,74.641,75.368
1994-04-01,27.374,28.678,35.07,74.5,43.121,36.589666666666666,75.208,56.533,44.904,31.128,24.782,83.856,60.873,59.032,34.147,53.285,84.596,43.933,75.493,78.508
1994-07-01,27.662,29.422,36.382,76.304,43.478,37.67933333333333,76.476,56.864,44.17,32.004,25.254,86.523,61.417,59.541,34.73,53.691,83.35,44.02433333333334,76.381,77.966
1994-10-01,28.634,31.193,37.222,74.295,44.528,38.614,75.811,57.515,45.987,32.904,25.6,82.264,62.681,60.173,36.085,54.272,82.067,44.32966666666667,76.66,79.045
1995-01-01,28.041,32.787,37.939,74.086,45.47,39.059,76.076,57.719,46.47,33.626,25.916,82.1,62.406,60.389,37.419,54.407,80.203,44.94899999999999,77.259,81.248
1995-04-01,28.326,32.736,38.471,73.839,45.439,39.482,76.332,57.891,45.505,33.945,26.515,81.955,62.008,60.686,37.777,54.884,77.731,45.185,77.868,83.208
1995-07-01,29.125,32.795,40.136,73.247,46.073,40.241,76.132,58.384,45.234,34.062,27.046,80.794,62.238,60.901,38.018,55.381,80.609,46.03766666666667,77.944,83.475
1995-10-01,29.63,33.723,40.709,70.752,46.968,40.678333333333335,75.335,58.78,46.357,34.497,27.717,78.13,59.992,61.215,38.755,55.768,82.175,46.67166666666666,78.351,82.761
1996-01-01,29.952,34.569,41.199,72.148,48.168,41.461666666666666,75.833,59.221,47.102,35.619,28.603,79.645,61.215,61.612,39.737,56.282,84.313,47.00733333333333,78.211,84.295
1996-04-01,30.905,35.581,41.868,72.831,49.662,42.236,76.777,60.208,49.365,36.416,29.315,80.581,61.531,62.403,40.796,56.887,87.989,47.58766666666667,79.338,86.136
1996-07-01,31.126,37.008,42.207,71.867,50.79,43.05466666666666,76.777,60.749,51.607,37.596,30.17,79.196,61.176,62.847,42.079,57.232,87.805,47.669000000000004,80.012,87.182
1996-10-01,31.732,37.459,44.839,71.519,51.6,44.353,77.307,61.379,51.539,38.338,31.083,78.337,61.564,63.356,43.147,57.688,86.807,48.806333333333335,81.154,91.821
1997-01-01,32.591,38.192,45.691,70.509,52.565,45.588666666666676,76.905,61.775,52.579,39.975,32.539,75.897,62.616,63.737,44.149,58.296,87.251,49.37199999999999,81.176,92.356
1997-04-01,32.487,39.458,47.518,72.07,53.567,46.87233333333333,77.901,62.804,55.806,41.317,33.213,78.065,63.3,63.765,45.066,58.558,88.472,49.833666666666666,81.777,91.504
1997-07-01,33.935,41.574,48.617,71.765,55.466,48.25966666666667,78.262,63.588,56.581,42.84,34.054,77.312,63.64,64.785,47.048,59.556,89.329,50.80466666666666,82.6,95.348
1997-10-01,34.801,41.476,48.547,71.652,55.876,48.799,78.655,64.131,57.412,43.764,34.94,77.737,62.754,65.238,47.349,60.268,90.272,51.24733333333334,83.343,95.868
1998-01-01,35.082,43.646,48.771,69.87,57.525,49.565666666666665,78.373,64.775,59.931,45.406,35.865,73.695,64.226,65.706,48.886,60.877,92.143,52.12533333333334,84.104,95.131
