Date,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Gross domestic purchases excluding final sales of computers to domestic purchasers,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1984-04-01,8.4,9.666666666666666,62.8,7.5,8.5,7.1,6.6,8.3,7.0,7.5,-17.9,8.6,11.0,4.7,14.0
1984-07-01,4.1,3.866666666666667,72.8,3.7,4.4,3.9,3.4,3.8,3.8,3.8,6.1,4.8,9.5,3.2,5.5
1984-10-01,15.5,9.8,50.9,5.9,3.0,3.3,2.9,1.6,3.1,3.4,53.7,-10.6,12.5,3.7,2.7
1985-01-01,-10.4,7.466666666666666,2.0,7.0,-0.6,3.9,4.0,4.7,3.7,3.0,-12.8,12.9,11.1,6.4,8.3
1985-04-01,10.9,0.7666666666666663,39.8,3.2,2.0,3.6,3.2,3.0,3.4,5.2,17.8,-7.9,8.9,4.4,5.3
1985-07-01,4.3,7.8,-13.9,6.5,7.2,6.3,6.5,5.4,6.2,6.3,27.5,11.1,6.4,6.7,1.0
1985-10-01,3.8,-1.4000000000000001,36.5,1.6,2.3,3.0,2.7,3.7,2.9,3.3,-10.4,0.4,6.2,3.3,4.2
1986-01-01,4.5,4.8,28.1,4.1,3.9,3.8,3.6,4.7,3.8,2.5,-16.2,3.1,2.0,3.1,6.6
1986-04-01,3.4,3.266666666666667,26.3,3.2,-0.3,1.8,1.6,1.5,1.8,2.9,10.0,-4.7,1.3,4.5,-3.9
1986-07-01,9.0,10.233333333333333,-12.6,5.7,5.6,3.9,4.1,3.6,3.9,4.4,9.8,1.5,3.9,3.8,-1.4
1986-10-01,2.3,3.6,22.7,2.5,2.5,2.2,2.0,2.7,2.1,1.2,-9.6,2.8,5.5,2.7,-1.5
1987-01-01,4.9,-6.533333333333332,43.3,-0.3,1.5,3.0,2.7,3.2,2.9,2.2,-1.3,-2.5,5.5,4.7,-0.4
1987-04-01,12.4,10.299999999999999,26.9,5.5,7.2,4.4,4.2,4.8,4.4,3.9,-5.6,1.0,3.8,2.9,2.3
1987-07-01,3.1,7.933333333333334,32.4,4.8,4.6,3.5,3.3,3.8,3.5,2.7,-2.8,6.6,3.2,2.5,4.7
1987-10-01,16.3,-2.766666666666667,7.0,2.0,11.2,7.0,7.1,6.7,7.2,6.7,15.6,5.1,1.7,4.9,3.9
1988-01-01,2.3,13.266666666666667,23.7,5.9,2.4,2.1,1.9,2.4,2.2,0.0,-6.4,2.5,-1.0,4.5,-10.4
1988-04-01,11.6,6.633333333333333,23.7,5.0,7.8,5.4,5.2,4.3,5.4,3.6,35.4,3.0,2.5,3.2,8.3
1988-07-01,4.8,0.46666666666666673,16.2,2.3,0.5,2.4,2.2,3.2,2.3,2.5,-17.3,-4.8,3.0,4.8,-3.4
1988-10-01,11.1,6.466666666666666,19.7,5.2,7.4,5.4,5.3,4.6,5.5,5.6,27.5,2.6,3.0,4.9,1.8
1989-01-01,6.0,3.4666666666666663,-12.9,2.3,8.8,4.1,4.3,3.5,4.2,3.1,19.8,12.6,1.6,2.2,-1.5
1989-04-01,1.2,7.766666666666667,57.1,3.9,5.4,3.1,2.6,4.3,3.2,1.4,-22.1,10.9,0.7,3.4,-6.7
1989-07-01,8.1,8.433333333333334,5.2,4.9,3.4,3.0,3.0,3.6,3.0,2.5,-10.5,-2.3,2.3,2.5,4.7
1989-10-01,-2.5,-3.233333333333334,-3.2,0.4,-2.8,0.8,0.8,1.3,0.7,0.9,-11.6,-3.1,3.8,3.9,-2.7
1990-01-01,8.9,5.833333333333333,19.8,4.6,5.9,4.4,4.3,5.0,4.4,4.2,-9.5,2.3,5.2,2.7,8.8
1990-04-01,-2.8,-2.466666666666667,-9.8,0.1,0.5,1.5,1.6,1.3,1.4,1.0,6.0,5.0,3.8,4.0,-9.1
1990-07-01,-0.3,2.1,-3.6,1.0,-0.2,0.3,0.3,0.2,0.2,0.0,1.7,0.0,1.8,2.3,-9.6
1990-10-01,-13.7,-2.0666666666666664,19.6,-1.6,-7.8,-3.6,-3.8,-1.9,-3.7,-5.2,-42.9,-0.1,0.7,0.9,-13.6
1991-01-01,-11.9,-2.3666666666666667,1.3,-1.5,-3.5,-1.9,-1.9,-0.9,-2.0,-2.6,-30.4,7.1,2.5,1.0,-12.7
1991-04-01,8.2,2.4,16.6,3.3,2.1,3.2,3.0,2.3,3.1,2.3,36.8,-4.6,4.6,4.0,1.9
1991-07-01,12.4,0.43333333333333335,33.8,0.9,3.8,2.0,1.8,1.2,2.2,1.9,32.3,-5.6,-3.0,1.7,-2.6
1991-10-01,-5.8,-4.2,45.6,-0.5,1.2,1.4,1.1,2.1,1.3,1.1,-17.6,10.1,5.7,1.2,3.8
1992-01-01,1.1,7.466666666666666,1.1,6.8,1.9,4.9,4.9,4.8,5.1,4.4,7.8,2.8,-1.0,5.6,12.4
1992-04-01,15.1,3.3666666666666667,49.3,2.9,7.8,4.4,4.1,3.6,4.6,4.7,33.1,-0.2,-1.7,2.7,2.7
1992-07-01,5.6,5.533333333333332,28.6,4.2,5.1,4.0,3.8,3.9,4.2,3.5,6.0,4.4,-3.7,4.4,-3.1
1992-10-01,6.8,4.433333333333333,13.9,4.1,4.9,4.2,4.2,3.5,4.4,5.0,28.1,2.7,-1.8,3.2,8.8
1993-01-01,7.1,-1.2666666666666666,37.2,-0.4,1.7,0.7,0.4,0.7,0.7,1.1,-1.8,-4.4,0.7,0.5,-2.1
1993-04-01,6.1,6.266666666666667,2.7,3.1,4.1,2.3,2.3,2.2,2.4,2.6,6.3,1.8,-0.6,1.1,3.6
1993-07-01,0.0,1.3666666666666665,40.6,3.4,-2.9,1.9,1.7,2.4,2.0,2.3,-11.6,-6.2,-1.7,3.9,8.4
1993-10-01,14.0,7.133333333333333,21.1,4.7,9.9,5.6,5.4,4.3,5.8,5.9,49.1,5.0,-4.5,1.8,14.7
1994-01-01,6.3,3.6333333333333333,24.7,2.2,9.0,3.9,3.8,3.1,4.0,4.3,29.5,12.6,0.0,2.3,-4.7
1994-04-01,5.5,2.466666666666667,9.2,3.5,8.4,5.5,5.5,6.4,5.6,5.6,-14.7,12.1,2.2,2.6,13.9
1994-07-01,5.6,6.633333333333333,23.7,4.1,1.5,2.4,2.2,2.1,2.3,1.9,9.8,-3.3,3.8,3.3,-0.6
1994-10-01,13.5,7.866666666666667,50.9,3.4,11.7,4.7,4.3,4.4,4.7,4.5,11.2,9.5,1.9,1.5,-0.8
1995-01-01,6.9,3.3000000000000003,82.1,2.1,1.5,1.4,0.9,1.7,1.5,1.2,-5.4,-5.1,-0.2,1.8,-0.9
1995-04-01,-1.7,2.033333333333333,59.6,2.7,-2.1,1.2,0.7,1.7,1.1,0.5,-10.5,-2.6,5.1,3.8,-2.1
1995-07-01,8.2,7.366666666666666,48.3,4.9,3.4,3.5,3.1,3.8,3.5,1.3,-4.9,-2.6,2.6,3.0,6.3
1995-10-01,10.3,5.266666666666667,86.4,2.4,6.6,2.7,2.1,1.9,2.6,2.0,27.5,1.9,7.7,0.6,2.3
1996-01-01,1.2,4.166666666666667,67.1,3.7,2.5,3.0,2.5,4.7,2.9,3.6,-33.4,4.3,6.4,2.7,7.4
1996-04-01,12.3,6.6000000000000005,41.0,5.6,10.5,6.8,6.5,5.2,6.9,6.7,63.7,8.2,4.7,3.5,15.0
1996-07-01,11.7,3.966666666666667,50.5,2.0,9.1,3.6,3.2,3.7,3.6,4.4,1.5,5.8,6.3,0.5,3.3
1996-10-01,1.7,7.066666666666666,42.5,5.5,3.5,4.2,3.9,5.1,4.1,2.1,-16.5,6.1,7.0,4.0,8.2
1997-01-01,12.6,4.466666666666667,62.1,2.5,5.2,2.6,2.1,2.1,2.5,3.2,16.9,-4.2,6.2,1.7,-1.0
1997-04-01,15.4,3.6666666666666665,62.4,3.6,13.6,6.8,6.3,7.2,7.0,6.0,-2.4,11.2,0.1,3.8,1.3
1997-07-01,12.5,11.533333333333333,66.1,6.7,7.3,5.1,4.5,4.3,5.2,5.2,29.3,0.4,2.5,3.2,8.6
