Date,Air,All other electric,Alternative electric,Amusement and recreation,Brokers' commissions and other ownership transfer costs,Brokers' commissions on sale of structures,Commercial and health care,Communication,Dormitories,Educational and vocational,Electric,Farm,Food and beverage establishments,Health care,Hospitals,Hospitals and special care,Improvements,Land,Lodging,Manufactured homes,Manufacturing,Medical buildings,Mining,"Mining exploration, shafts, and wells",Multifamily structures,Multimerchandise shopping,Net purchases of used structures,Nonresidential,Nonresidential structures,Office,Other,Other commercial,Other power,Other structures,Permanent site,Petroleum and natural gas,Power,Power and communication,Private fixed investment in new structures,Religious,Residential,Residential structures,Single-family structures,Special care,Transportation,Warehouses
1975-01-01,-0.01,,,-0.11,0.46,-0.04,-3.53,-0.48,0.06,-0.11,-0.76,0.12,-0.41,-0.32,-0.15,-0.19,1.37,-0.17,-0.52,-0.83,-0.32,-0.14,0.08,0.71,-5.86,-0.75,0.225,-5.02,-5.01,-1.18,-0.02,-0.53,0.3,0.27,-7.86,0.63,-0.45,-0.93,-12.27,-0.1,-6.37,-7.26,-1.99,-0.04,-0.18,-0.34
1976-01-01,0.01,,,0.12,1.03,-0.01,-0.19,-0.02,-0.07,0.03,0.66,0.08,-0.01,0.08,0.09,0.11,1.19,0.28,-0.16,0.4,-0.63,-0.03,0.17,0.47,-0.17,-0.03,0.004999999999999999,1.17,1.21,-0.21,0.02,0.0,0.49,1.49,9.08,0.3,1.15,1.13,11.81,0.05,11.66,10.6,9.24,0.02,0.3,-0.01
1977-01-01,0.0,,,0.04,1.04,0.08,0.63,0.16,-0.05,-0.01,0.74,0.12,0.12,-0.16,-0.14,-0.17,0.56,0.08,-0.01,0.41,0.18,0.02,0.12,0.77,1.49,0.23,-0.030000000000000002,1.79,1.7,0.18,0.07,0.14,-1.09,1.15,9.82,0.65,-0.35,-0.18,12.45,0.02,11.72,10.75,8.33,-0.03,0.09,0.1
1978-01-01,0.01,,,0.13,0.89,-0.02,1.5,0.4,0.02,0.03,0.32,0.17,0.19,-0.03,-0.07,-0.09,1.28,0.2,0.14,0.07,1.95,0.06,-0.09,0.88,0.68,0.34,0.009999999999999998,5.7,5.66,0.56,0.07,0.28,-0.24,1.5550000000000002,1.79,0.98,0.08,0.48,8.82,0.08,4.01,3.16,1.1,-0.02,0.21,0.16
1979-01-01,0.01,,,0.08,-0.34,-0.02,2.12,0.24,-0.02,0.04,-0.05,0.0,0.19,0.08,-0.04,-0.04,0.3,-0.01,0.4,0.01,1.61,0.12,-0.04,0.45,1.22,0.36,0.034999999999999996,5.19,5.23,1.03,0.08,0.29,0.16,0.34500000000000003,-2.4,0.49,0.11,0.35,3.11,0.09,-2.37,-2.12,-3.63,-0.01,-0.01,0.16
1980-01-01,0.0,,,0.03,-1.47,-0.02,1.28,0.03,0.01,0.13,-0.12,-0.42,-0.01,0.23,0.07,0.09,0.16,-0.09,0.23,-0.33,-1.38,0.14,0.09,2.83,-0.68,-0.02,-0.02,2.62,2.64,1.1,-0.04,0.0,0.17,-0.9349999999999999,-10.16,2.74,0.06,0.09,-7.68,-0.01,-11.82,-10.32,-9.48,0.02,-0.09,-0.01
1981-01-01,0.0,,,-0.01,-1.1,-0.02,1.27,0.1,0.03,-0.01,0.14,-0.34,-0.07,0.41,0.21,0.26,-0.94,-0.04,0.22,0.04,1.05,0.15,0.19,1.87,-0.24,-0.13,-0.02,4.21,4.25,1.18,0.0,-0.06,0.02,-1.105,-2.04,1.68,0.16,0.26,1.35,-0.02,-4.01,-2.9,-1.79,0.05,-0.05,-0.06
1982-01-01,0.01,,,0.13,-0.98,-0.01,1.47,0.05,0.02,0.04,-0.27,-0.4,-0.21,0.9,0.56,0.69,-1.58,-0.11,-0.06,-0.09,-0.3,0.21,-0.19,-1.14,-1.12,-0.39,0.01,-0.94,-0.97,1.62,0.02,-0.29,-0.34,-1.5350000000000001,-5.2,-0.95,-0.61,-0.57,-7.83,-0.07,-7.86,-6.86,-4.09,0.13,-0.09,-0.17
1983-01-01,0.01,,,0.14,2.39,0.0,-0.59,-0.23,0.02,0.05,-0.8,-0.21,0.05,0.18,0.25,0.31,0.63,-0.08,0.37,0.5,-2.58,-0.13,-0.2,-2.45,2.08,0.09,-0.0049999999999999975,-6.67,-6.62,-1.01,0.1,0.06,-0.44,2.0,12.87,-2.25,-1.24,-1.47,7.4,0.09,16.46,14.02,10.79,0.06,-0.06,0.04
1984-01-01,0.03,,,0.33,0.77,0.05,3.93,0.22,0.02,0.01,-0.06,-0.05,0.44,0.01,-0.16,-0.19,1.43,0.15,0.46,0.03,0.22,0.2,0.04,1.25,1.61,0.82,-0.05,6.88,6.84,1.69,0.21,0.61,0.01,1.73,5.36,1.21,-0.04,0.18,13.68,0.11,7.53,6.83,3.75,-0.04,0.18,0.37
