Date,Change in private inventories,Durable goods,Farm,Manufacturing,Merchant wholesalers,Motor vehicle dealers,Nondurable goods,Nonfarm,Nonmerchant wholesalers,Other,Residual,Retail trade,Wholesale trade
1979-07-01,20445.0,2670.8333333333335,9625.0,12997.0,10401.0,-13739.0,932.5,10075.0,1392.0,-657.0,-122.0,-13639.0,11667.0
1979-10-01,14701.0,1048.1666666666667,-1299.0,17549.0,2466.0,-6936.0,2408.1666666666665,16493.0,2983.0,-2059.0,7433.0,-5859.0,5627.0
1980-01-01,16250.0,1294.5,-4235.0,26861.0,7371.0,-12295.0,5247.833333333333,21333.0,6903.0,-6907.5,14882.0,-9561.0,15012.0
1980-04-01,13872.0,738.6666666666666,-8920.0,7748.0,11757.0,-13043.0,6652.5,23590.0,4752.0,2768.0,-8803.0,-5513.0,16907.0
1980-07-01,-59914.0,-4692.166666666667,-19640.0,-29251.0,12947.0,-7419.0,-1140.3333333333333,-39942.0,-11176.0,-2887.5,-43598.0,-4058.0,-148.0
1980-10-01,-16997.0,3614.6666666666665,-9159.0,-3379.0,4139.0,-543.0,-6289.333333333333,-7191.0,-7856.0,1983.0,-5667.0,-4297.0,-4917.0
1981-01-01,69238.0,3977.1666666666665,15366.0,18855.0,13820.0,-9491.0,9881.166666666666,54582.0,9508.0,6862.5,11182.0,3997.0,24412.0
1981-04-01,17351.0,3854.3333333333335,15594.0,-364.0,-8526.0,12389.0,-6058.333333333333,2026.0,-2379.0,-1608.5,15863.0,17325.0,-11048.0
1981-07-01,71443.0,2217.6666666666665,20322.0,13828.0,3632.0,151.0,7074.666666666667,52172.0,-719.0,11919.0,12269.0,14698.0,2589.0
1981-10-01,36320.0,891.5,7542.0,-8073.0,11415.0,-1730.0,7183.833333333333,29058.0,2341.0,10634.0,-11082.0,8370.0,13704.0
1982-01-01,-34131.0,-4218.166666666667,9488.0,-18292.0,-8667.0,-10134.0,-3188.0,-41891.0,2169.0,-77.0,-34951.0,-21409.0,-6108.0
1982-04-01,-6705.0,1219.0,9489.0,-21826.0,15886.0,2445.0,-2985.0,-14996.0,-8414.0,-435.5,-25808.0,1664.0,6380.0
1982-07-01,7453.0,-1690.0,16623.0,-10924.0,-7658.0,13492.0,495.0,-6867.0,3527.0,-3060.0,488.0,15773.0,-3668.0
1982-10-01,-65093.0,-12091.833333333334,8324.0,-31249.0,-10261.0,-16699.0,1440.8333333333333,-70359.0,-76.0,-5622.5,-57443.0,-15289.0,-10150.0
1983-01-01,-60654.0,-10008.5,-16089.0,-47025.0,-9035.0,2592.0,2045.6666666666667,-45743.0,-5573.0,6731.0,-46289.0,9588.0,-14917.0
1983-04-01,-9540.0,-1640.1666666666667,-19759.0,7898.0,-19199.0,4314.0,-1026.3333333333333,7958.0,-1990.0,1142.5,22195.0,21167.0,-21030.0
1983-07-01,-3299.0,3690.8333333333335,-50998.0,15414.0,12449.0,4697.0,7582.0,41596.0,5661.0,-2494.5,25917.0,16777.0,18342.0
1983-10-01,34462.0,6430.0,-15148.0,21369.0,12404.0,7369.0,2493.0,47844.0,-119.0,-1182.0,36334.0,19745.0,12100.0
1984-01-01,109746.0,10986.0,10579.0,35569.0,17616.0,14351.0,8852.666666666666,99556.0,826.0,2872.5,53039.0,46284.0,18248.0
1984-04-01,103174.0,9592.666666666666,9496.0,58355.0,11496.0,-1648.0,8418.833333333334,93862.0,5603.0,1491.5,63628.0,17411.0,17310.0
1984-07-01,107716.0,11654.666666666666,11448.0,51811.0,33094.0,-4703.0,10012.833333333334,96140.0,4659.0,1584.0,47775.0,3476.0,37617.0
1984-10-01,67827.0,9117.166666666666,5452.0,6995.0,9769.0,20728.0,845.0,61817.0,-468.0,6230.5,37324.0,41798.0,9144.0
1985-01-01,20964.0,722.5,12260.0,-12043.0,12462.0,275.0,3829.1666666666665,10289.0,-122.0,5320.0,-13229.0,6586.0,12178.0
1985-04-01,30728.0,1724.5,6769.0,-1453.0,8423.0,6596.0,4009.1666666666665,24385.0,26.0,3412.5,5333.0,14333.0,8349.0
1985-07-01,25833.0,-1048.5,13354.0,-11414.0,9066.0,-584.0,5059.0,14618.0,-5338.0,6582.5,-13424.0,17302.0,3297.0
