Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1975-10-01,261.0,351072.0,474387.3333333333,,1761483.0,711929.0,1761831.0,,1697626.0,1721379.0,64205.0,360857.0,40452.0,869924.0,179978.0
1976-01-01,11019.75,374618.0,483386.6666666667,,1805794.0,739773.0,1820487.0,,1746041.0,1778833.0,74446.0,365155.0,41654.0,888737.0,191976.0
1976-04-01,16836.0,388024.0,488116.0,,1829884.0,754622.0,1852332.0,,1773529.0,1809686.0,78803.0,366598.0,42647.0,904328.0,193382.0
1976-07-01,15605.25,399785.0,498783.3333333333,,1865751.0,768982.0,1886558.0,,1807943.0,1842905.0,78615.0,369197.0,43653.0,925305.0,192271.0
1976-10-01,7888.5,412909.0,512320.3333333333,,1923755.0,778999.0,1934273.0,,1850922.0,1889639.0,83352.0,366090.0,44634.0,951174.0,204100.0
1977-01-01,11116.5,424950.0,521592.6666666667,,1973827.0,797211.0,1988648.0,,1894614.0,1943042.0,94034.0,372261.0,45606.0,977828.0,213609.0
1977-04-01,14601.75,434833.0,534903.6666666666,,2036440.0,821825.0,2055909.0,,1961469.0,2009013.0,94440.0,386992.0,46896.0,1000873.0,233211.0
1977-07-01,23163.0,450087.0,546704.6666666666,,2087589.0,850941.0,2118473.0,,2020892.0,2070329.0,97582.0,400854.0,48145.0,1029345.0,238188.0
1977-10-01,18090.75,459825.0,561915.3333333334,,2140149.0,866993.0,2164270.0,,2064738.0,2114805.0,99532.0,407169.0,49465.0,1055496.0,241781.0
1978-01-01,19089.75,468234.0,562802.3333333334,9801.0,2177306.0,869657.0,2202760.0,2192958.0,2105883.0,2151934.0,96877.0,401423.0,50826.0,1085705.0,247398.0
1978-04-01,18192.75,505954.0,607408.0,11274.0,2307376.0,935369.0,2331633.0,2320360.0,2223326.0,2278983.0,108307.0,429415.0,52650.0,1119625.0,276640.0
1978-07-01,18724.5,509441.0,620467.3333333334,12417.0,2370087.0,955667.0,2395053.0,2382636.0,2288927.0,2340785.0,106126.0,446227.0,54268.0,1146423.0,292963.0
1978-10-01,21365.25,547789.0,646299.3333333334,13505.0,2448463.0,997935.0,2476949.0,2463444.0,2362152.0,2420875.0,114798.0,450146.0,56074.0,1174612.0,304402.0
1979-01-01,17889.0,563360.0,664721.3333333334,14480.0,2502758.0,1020935.0,2526610.0,2512130.0,2406602.0,2468706.0,120008.0,457575.0,57905.0,1204521.0,301154.0
1979-04-01,20550.75,563945.0,674775.3333333334,14941.0,2563846.0,1039563.0,2591247.0,2576306.0,2483258.0,2531517.0,107989.0,475619.0,59730.0,1238027.0,313657.0
1979-07-01,9098.25,573600.0,704720.0,16034.0,2655434.0,1069211.0,2667565.0,2651532.0,2566095.0,2605704.0,101471.0,495611.0,61862.0,1268807.0,329547.0
1979-10-01,6414.75,578729.0,713089.3333333334,17430.0,2715331.0,1078187.0,2723883.0,2706453.0,2628662.0,2659789.0,95221.0,499458.0,64095.0,1309298.0,336398.0
1980-01-01,7424.25,596836.0,732129.6666666666,17849.0,2779943.0,1108094.0,2789842.0,2771993.0,2698184.0,2723329.0,91658.0,511258.0,66513.0,1345242.0,336506.0
1980-04-01,5812.5,570598.0,728111.0,19272.0,2789603.0,1099916.0,2797352.0,2778080.0,2721431.0,2728890.0,75921.0,529318.0,68462.0,1386304.0,311132.0
1980-07-01,-25391.25,578484.0,762597.3333333334,21431.0,2890338.0,1110041.0,2856483.0,2835052.0,2773537.0,2785782.0,82946.0,531557.0,70701.0,1426808.0,319633.0
