Date,Command-basis gross domestic product,Command-basis gross national product,Command-basis net domestic product,Command-basis net national product,Final sales to domestic purchasers,Final sales to private domestic purchasers,Gross domestic product (GDP),Gross domestic purchases,Gross national product,Net domestic product,Net national product
1997-04-01,6.6,7.0,6.9,7.3,3.5,3.1,6.8,6.6,7.2,7.1,7.5
1997-07-01,5.9,5.5,6.0,5.5,7.4,8.7,5.1,5.8,4.7,5.0,4.6
1997-10-01,3.6,3.2,3.2,2.8,4.0,4.5,3.5,4.6,3.1,3.1,2.7
1998-01-01,5.1,5.5,4.9,5.4,4.5,5.9,4.1,5.7,4.5,3.8,4.3
1998-04-01,4.1,3.9,3.7,3.6,8.5,8.8,3.8,5.3,3.6,3.4,3.2
1998-07-01,5.6,5.0,5.6,4.8,5.4,5.9,5.1,5.9,4.5,5.0,4.2
1998-10-01,6.6,6.7,6.6,6.7,6.3,7.1,6.6,6.5,6.7,6.6,6.8
1999-01-01,4.1,4.7,3.7,4.4,4.5,4.8,3.8,5.3,4.2,3.4,3.8
1999-04-01,2.6,2.8,2.0,2.2,6.1,7.1,3.4,4.2,3.6,2.9,3.1
1999-07-01,4.7,4.6,4.5,4.4,5.6,5.7,5.4,5.9,5.3,5.3,5.1
1999-10-01,6.3,6.7,6.4,6.8,5.3,5.1,6.7,7.0,7.1,6.9,7.3
2000-01-01,0.8,0.6,0.0,-0.3,5.6,7.5,1.5,2.8,1.2,0.8,0.5
2000-04-01,7.9,8.0,8.2,8.3,4.8,5.0,7.5,7.7,7.6,7.6,7.7
2000-07-01,0.1,-0.1,-0.9,-1.2,2.5,3.4,0.4,1.4,0.2,-0.6,-0.9
2000-10-01,2.3,3.3,1.6,2.7,2.9,3.0,2.4,2.8,3.3,1.7,2.8
2001-01-01,-1.2,-1.7,-2.5,-3.1,1.6,0.6,-1.3,-1.5,-1.9,-2.6,-3.3
2001-04-01,3.2,3.5,3.1,3.4,0.9,-0.4,2.5,1.9,2.8,2.3,2.6
2001-07-01,-0.6,-1.5,-1.0,-2.0,0.3,0.5,-1.6,-0.7,-2.4,-2.1,-3.1
2001-10-01,1.9,4.3,2.4,5.3,3.7,3.1,1.1,1.8,3.5,1.5,4.4
2002-01-01,3.6,2.1,1.9,0.2,1.3,0.0,3.4,3.9,1.9,1.6,-0.1
2002-04-01,1.5,0.8,2.0,1.1,1.8,1.5,2.5,3.0,1.8,3.2,2.3
2002-07-01,1.7,2.1,1.9,2.4,2.1,2.1,1.6,2.1,2.1,1.8,2.3
2002-10-01,0.3,0.9,-0.1,0.6,1.7,1.4,0.5,1.9,1.1,0.1,0.8
2003-01-01,0.9,0.3,0.3,-0.4,2.0,2.3,2.1,1.9,1.5,1.7,1.0
2003-04-01,4.6,5.1,4.7,5.2,5.4,5.7,3.6,4.1,4.0,3.5,4.0
2003-07-01,6.8,6.7,7.4,7.2,6.1,7.4,6.8,6.4,6.7,7.3,7.2
2003-10-01,4.9,5.7,5.1,6.1,3.5,3.7,4.7,4.6,5.6,4.9,5.9
2004-01-01,1.7,2.3,1.4,2.1,2.6,2.7,2.3,2.9,2.9,2.1,2.8
2004-04-01,3.0,2.1,3.0,1.9,3.5,4.1,3.1,4.4,2.2,3.1,2.1
2004-07-01,3.5,3.8,3.5,3.8,4.7,5.6,3.8,4.3,4.1,3.9,4.2
2004-10-01,3.3,2.4,3.2,2.1,4.2,5.2,4.1,4.4,3.2,4.2,3.1
2005-01-01,4.7,5.8,4.8,6.1,3.3,3.6,4.5,4.1,5.5,4.6,5.8
2005-04-01,1.7,1.3,1.3,0.8,4.1,5.0,2.0,1.8,1.6,1.6,1.1
2005-07-01,2.3,2.5,1.9,2.2,3.7,4.2,3.2,3.3,3.4,3.0,3.2
2005-10-01,1.7,0.8,1.3,0.2,0.9,1.0,2.2,2.9,1.3,1.9,0.8
2006-01-01,5.8,5.8,6.1,6.1,5.2,5.2,5.5,4.9,5.5,5.7,5.7
2006-04-01,1.0,0.8,0.4,0.2,0.9,1.1,1.0,0.9,0.8,0.5,0.2
2006-07-01,0.5,0.1,-0.1,-0.6,1.1,1.4,0.6,1.2,0.2,0.0,-0.5
2006-10-01,4.2,4.4,4.2,4.5,2.5,2.4,3.5,1.7,3.7,3.4,3.6
2007-01-01,1.2,1.2,0.7,0.7,1.6,1.9,1.2,1.2,1.2,0.7,0.6
2007-04-01,2.3,2.8,2.1,2.7,1.7,1.2,2.5,2.0,3.0,2.2,2.8
2007-07-01,2.3,3.9,2.2,4.0,1.6,1.6,2.3,1.2,3.9,2.1,4.0
2007-10-01,0.7,1.8,0.2,1.6,0.9,0.4,2.5,0.8,3.7,2.4,3.8
2008-01-01,-3.4,-3.6,-4.5,-4.8,-1.2,-1.7,-1.7,-2.1,-2.0,-2.6,-2.9
2008-04-01,0.8,0.9,0.3,0.5,0.8,0.2,2.4,0.2,2.5,2.3,2.4
2008-07-01,-3.0,-2.5,-4.0,-3.4,-3.0,-4.4,-2.1,-2.6,-1.6,-3.0,-2.4
2008-10-01,-3.9,-5.9,-5.1,-7.5,-5.9,-7.9,-8.5,-7.7,-10.3,-10.4,-12.6
2009-01-01,-1.7,-0.9,-2.3,-1.4,-4.6,-6.7,-4.5,-6.4,-3.8,-5.6,-4.7
2009-04-01,-1.6,-1.6,-2.1,-2.0,-2.1,-4.1,-0.7,-3.1,-0.7,-1.0,-0.9
2009-07-01,0.4,2.0,0.4,2.3,2.2,2.5,1.4,1.9,3.1,1.5,3.5
2009-10-01,3.2,2.9,3.6,3.3,0.1,0.0,4.4,4.5,4.1,5.1,4.7
2010-01-01,1.6,2.4,1.7,2.6,1.2,1.9,1.9,2.3,2.7,2.1,3.0
2010-04-01,4.9,4.9,5.7,5.6,4.7,5.5,3.9,5.5,3.9,4.5,4.4
2010-07-01,3.4,3.1,3.8,3.5,1.6,2.8,3.1,3.8,2.8,3.4,3.1
