Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1980-04-01,-0.22499999999999998,-6.0,-2.3733333333333335,0.39,-7.69,-3.86,-8.38,-5.51,-8.04,-2.48,2.14,0.05,0.52,-4.65
1980-07-01,-4.3575,-0.48,2.7533333333333334,0.5,5.34,-1.69,-0.98,-1.22,-0.57,0.75,-1.2,0.1,1.11,0.11
1980-10-01,2.7975,4.79,0.15333333333333332,0.24,3.94,3.97,7.43,5.55,7.49,2.12,-0.83,0.18,1.69,2.02
1981-01-01,4.6575,2.15,1.1500000000000001,0.27,1.86,7.94,7.8,8.28,7.92,-0.21,5.78,0.15,0.02,0.12
1981-04-01,-2.955,-0.79,-0.006666666666666672,0.05,1.01,-3.95,-2.99,-3.44,-3.0,0.51,-3.16,0.07,1.67,-0.65
1981-07-01,3.19,0.7,1.1166666666666665,0.25,0.62,5.93,4.62,5.5,4.73,-0.62,5.22,0.15,0.24,-1.29
1981-10-01,-1.98,-4.43,-1.7433333333333332,0.44,-1.65,-5.26,-4.73,-3.16,-4.33,-1.13,-0.83,0.04,0.78,0.19
1982-01-01,-3.9975,-2.64,0.28,0.12,-0.74,-4.91,-6.19,-5.39,-6.18,-0.68,-2.28,0.11,0.78,-1.94
1982-04-01,1.7,2.08,0.2866666666666667,-0.21,-0.43,2.7,2.05,0.25,1.73,1.58,0.62,0.1,0.44,-1.31
1982-07-01,0.8325,-1.15,-2.06,0.05,-2.63,-1.98,-1.57,-1.63,-1.64,0.11,-0.83,0.12,1.7,-1.25
1982-10-01,-4.005,-3.67,1.4800000000000002,0.07,5.5,-3.12,0.09,1.59,0.1,-1.43,0.55,0.06,2.54,0.74
1983-01-01,0.6825,-0.03,0.23333333333333328,0.61,4.47,1.26,4.76,3.69,5.24,1.69,1.29,0.14,2.79,1.33
1983-04-01,2.565,7.52,1.7,0.51,6.0,5.97,8.91,8.61,9.19,0.81,-1.55,0.23,2.56,0.89
1983-07-01,0.4275,3.3,1.6466666666666667,0.53,7.67,3.04,7.7,6.11,8.07,2.13,-0.26,0.17,2.79,2.41
1983-10-01,2.26,5.18,3.16,0.22,5.6,7.75,8.39,6.8,8.36,1.81,2.57,0.25,-0.26,1.11
1984-01-01,3.705,2.76,0.17333333333333334,0.45,3.11,5.2,7.61,7.71,7.88,0.34,2.44,0.17,1.05,1.8
1984-04-01,-0.2175,1.8,2.32,0.49,7.38,3.19,6.6,7.89,6.8,-0.79,1.39,0.29,2.46,1.45
1984-07-01,0.1575,0.88,0.9466666666666667,0.58,3.7,1.63,3.33,3.69,3.66,0.22,0.75,0.25,1.69,0.59
1984-10-01,-1.8225,3.05,2.356666666666667,0.47,5.76,1.1,2.86,1.59,2.99,1.73,-1.95,0.33,1.92,0.3
1985-01-01,-2.145,-2.23,1.7733333333333334,0.03,6.79,-0.2,3.9,4.5,3.63,-0.57,2.04,0.3,3.26,0.87
1985-04-01,0.2625,2.14,0.28,0.36,3.22,0.77,3.2,2.9,3.32,0.67,-1.37,0.25,2.23,0.56
1985-07-01,-0.11250000000000002,0.9,1.9166666666666667,-0.16,6.4,2.72,6.41,5.21,6.07,1.04,1.82,0.18,3.42,0.12
1985-10-01,1.0574999999999999,0.73,-0.35000000000000003,0.31,1.6,0.88,2.7,3.48,2.83,-0.47,0.14,0.17,1.69,0.44
1986-01-01,-0.1275,0.86,1.0933333333333333,0.25,3.96,1.47,3.54,4.51,3.73,-0.72,0.61,0.06,1.62,0.7
1986-04-01,-0.9750000000000001,0.63,0.8266666666666667,0.24,3.12,-0.07,1.58,1.43,1.78,0.39,-0.7,0.04,2.32,-0.44
1986-07-01,-1.2225,1.72,2.44,-0.15,5.51,2.04,4.03,3.49,3.77,0.39,0.32,0.11,2.01,-0.16
1986-10-01,-0.2175,0.44,0.8099999999999999,0.2,2.45,0.92,1.97,2.57,2.01,-0.41,0.48,0.15,1.41,-0.17
1987-01-01,2.4675000000000002,0.96,-1.8033333333333335,0.36,-0.29,0.58,2.64,3.05,2.84,-0.05,-0.37,0.16,2.48,-0.06
1987-04-01,-0.75,2.38,2.3699999999999997,0.24,5.38,2.56,4.15,4.61,4.27,-0.22,0.18,0.11,1.59,0.24
