Date,Clothing and footwear,Durable goods,Energy goods and services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing,Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Market-based PCE,Market-based PCE excluding food and energy,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Recreation services,Recreational goods and vehicles,Services,Transportation services
1969-04-01,0.11,-0.16,0.03,0.04,0.24,-0.27,0.54,0.19,0.21,0.17,0.31,0.35,2.4,0.81,0.66,0.28,,,-0.49,0.32,-0.01,0.26,0.28,2.85,2.03,1.81,0.15,0.15,2.44,0.18
1969-07-01,0.16,-0.17,0.37,0.09,0.12,-0.05,-0.18,-0.35,0.06,0.37,0.22,0.17,1.51,0.7,1.06,0.13,,,0.29,0.54,-0.07,0.37,0.25,1.64,0.94,0.58,-0.09,-0.04,1.6,0.18
1969-10-01,-0.15,-0.23,0.49,0.13,0.35,0.71,0.14,-0.04,0.35,0.74,0.36,0.31,2.37,0.63,0.81,0.23,,,-0.43,0.97,0.03,0.06,0.45,2.03,1.4,1.72,0.09,0.21,2.49,0.21
1970-01-01,-0.34,-0.9,0.36,0.11,-0.04,0.86,0.55,-0.01,0.27,0.33,0.34,0.51,2.07,0.28,0.4,0.23,,,-1.59,1.23,0.16,0.44,0.45,1.28,1.0,1.8,0.2,0.55,2.17,0.0
1970-04-01,-0.09,0.65,-0.14,0.09,0.19,0.08,0.28,0.07,-0.15,0.57,0.08,0.16,1.16,0.36,0.4,-0.01,,,0.68,-0.08,0.0,0.09,0.06,1.88,1.52,0.87,0.02,-0.1,1.25,0.05
1970-07-01,-0.08,0.22,0.44,0.18,0.28,0.51,0.04,0.04,0.25,1.26,0.46,0.56,2.12,0.57,0.78,0.28,,,-0.22,1.03,0.23,0.35,0.23,2.61,2.04,1.54,0.06,0.18,2.3,0.18
1970-10-01,0.45,-3.75,-0.09,-0.08,0.27,0.74,-0.29,0.27,0.0,-2.1,0.26,0.8,1.09,0.67,0.59,0.34,,,-4.19,1.65,0.09,0.45,-0.29,-1.73,-2.4,0.44,0.02,0.09,1.01,-0.01
1971-01-01,0.19,5.8,0.49,0.09,0.33,0.35,-0.26,0.09,0.31,6.44,0.43,0.31,1.37,0.6,0.76,0.34,,,5.87,0.64,-0.06,-0.22,0.07,7.06,6.46,0.68,0.05,-0.1,1.46,0.11
1971-04-01,0.69,1.34,0.36,0.13,-0.03,-0.19,0.18,0.2,0.25,1.67,0.58,0.57,1.92,0.67,0.77,0.45,,,0.79,0.33,0.11,-0.42,0.09,3.56,2.89,1.28,0.12,0.25,2.05,0.23
1971-07-01,0.15,1.56,-0.18,0.16,-0.04,-0.55,0.24,0.3,-0.07,1.3,0.49,0.65,1.77,0.79,0.7,0.33,,,1.05,-0.26,0.11,0.2,-0.05,3.96,3.17,1.25,0.08,0.1,1.93,0.18
