Date,Change in private inventories,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross private domestic investment,Imports,Intellectual property products,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1966-07-01,-0.57,1.14,0.11,-0.24,2.02,0.07,0.35000000000000003,2.47,-0.51,-0.99,0.17,2.35,-1.23,-0.34,0.64,0.63,2.7,-0.56,0.14333333333333334,0.45,0.34
1966-10-01,2.11,-0.01,0.37,0.5,0.6,-1.69,-0.02,1.6,0.42,-0.19,0.16,1.06,0.31,-0.46,-0.24,0.01,0.99,-1.7,0.45333333333333337,1.0,-0.53
1967-01-01,-0.58,-0.65,-1.02,0.25,3.46,-1.15,0.08333333333333333,3.96,-1.72,-0.26,0.12,2.39,-0.01,1.07,0.98,-0.75,1.37,-0.4,0.37000000000000005,0.49,0.16
1967-04-01,-3.96,1.45,0.28,-0.28,-0.61,1.51,0.82,-0.4,-2.46,0.17,0.05,0.06,-0.11,-0.67,0.65,-0.1,3.21,1.61,0.2166666666666667,0.22,-0.42
1967-07-01,1.15,-0.28,-0.34,-0.16,0.93,0.75,-0.2333333333333333,1.09,1.91,-0.23,0.11,1.01,-0.39,-0.08,-0.08,-0.07,1.23,0.83,0.5166666666666667,0.16,0.15
1967-10-01,-0.43,0.09,0.78,0.37,0.05,1.85,-0.12999999999999998,0.75,1.42,-0.96,0.11,-0.41,-0.58,0.46,0.39,0.92,1.46,0.94,0.42333333333333334,0.7,0.02
1968-01-01,0.0,2.15,0.96,0.56,1.04,1.44,1.0899999999999999,1.81,1.44,-1.11,0.12,1.01,-0.54,0.03,1.69,1.38,5.71,0.06,0.63,0.76,0.29
1968-04-01,2.77,0.76,-0.62,0.34,-0.27,-0.15,0.57,0.55,2.62,-0.3,0.17,-0.03,0.05,-0.24,1.06,-0.57,3.64,0.42,0.66,0.81,-0.12
1968-07-01,-2.79,1.6,0.58,1.42,-0.3,0.94,1.0,0.3,-1.85,-1.17,0.11,-0.74,0.25,0.44,1.35,0.6,4.42,0.34,0.5566666666666666,0.6,-0.09
1968-10-01,-0.74,-0.22,0.83,-0.47,-0.25,1.45,-0.10666666666666667,0.1,0.71,0.17,0.09,-0.35,-0.3,0.1,0.02,1.21,1.07,0.24,0.36333333333333334,0.35,0.29
1969-01-01,2.21,0.69,0.9,-2.35,-0.14,1.77,0.49000000000000005,0.25,3.98,1.88,0.05,-0.33,-0.47,0.18,0.94,1.17,2.65,0.6,0.2333333333333333,0.39,0.23
1969-04-01,-0.72,-0.1,0.25,3.86,-0.65,0.32,0.06666666666666658,-0.3,-0.4,-3.47,0.13,-0.77,0.4,0.12,0.18,0.49,1.52,-0.17,0.5733333333333334,0.35,0.11
1969-07-01,0.5,-0.1,0.33,-0.36,0.09,0.92,0.04000000000000001,0.19,1.42,0.27,0.05,0.0,-0.09,0.1,0.32,1.06,1.15,-0.14,0.3133333333333333,0.09,0.68
1969-10-01,-1.86,-0.14,-0.21,0.54,-1.19,-1.44,0.45,-1.28,-3.31,0.23,0.07,-0.77,0.77,-0.42,0.56,-0.24,1.88,-1.2,0.43333333333333335,-0.1,-0.11
1970-01-01,-1.63,-0.54,-0.16,0.28,-0.88,-0.31,0.13333333333333333,-0.48,-1.94,0.07,-0.03,-1.01,0.35,0.13,0.73,-0.32,1.47,0.01,0.47666666666666674,0.41,-0.12
1970-04-01,1.46,0.39,-0.11,0.84,-1.35,-1.31,0.22666666666666668,-1.11,0.14,-0.4,-0.05,-1.66,0.44,0.32,-0.05,-0.31,1.1,-1.0,0.2833333333333333,0.24,-0.16
1970-07-01,0.02,0.14,0.13,0.09,-0.61,1.03,0.27999999999999997,0.4,1.05,0.05,-0.04,-0.53,0.14,-0.08,0.62,0.15,2.14,0.88,0.48,1.01,0.06
1970-10-01,-3.38,-2.22,-1.35,0.05,-0.18,-0.04,-0.4766666666666666,0.06,-3.42,-0.32,-0.11,-0.26,-0.27,0.08,1.01,-1.63,-0.59,1.58,0.19000000000000003,0.23,-0.17
1971-01-01,6.02,3.53,0.38,0.24,-1.53,1.29,1.2533333333333332,-1.31,7.31,0.26,0.01,-1.5,0.5,-0.03,0.4,0.36,4.81,0.93,0.52,0.22,-0.03
1971-04-01,-0.47,0.8,0.55,-0.16,-0.55,2.32,-0.16,-0.21,1.85,-1.55,0.07,-1.2,-1.71,0.65,0.21,0.59,2.25,1.73,0.33666666666666667,0.34,-0.03
1971-07-01,-0.29,0.94,0.18,1.08,-0.21,1.13,0.43,-0.05,0.84,-0.48,0.08,-0.65,0.61,0.45,-0.16,0.22,1.94,0.91,0.4166666666666667,0.16,-0.05
1971-10-01,-3.58,1.49,0.86,-2.07,-1.24,1.76,0.45666666666666655,-0.66,-1.82,1.52,0.14,-0.86,-0.55,-0.37,0.56,0.96,3.97,0.79,0.6833333333333332,0.57,-0.04
1972-01-01,1.58,0.82,1.02,2.31,0.38,2.96,0.2399999999999999,0.51,4.54,-3.02,0.14,-0.32,-0.71,0.71,0.28,1.55,3.21,1.41,0.5933333333333333,0.13,0.39
1972-04-01,2.88,0.91,0.64,-0.65,0.48,1.27,1.2033333333333334,0.41,4.15,0.87,0.11,0.3,0.22,0.18,2.18,0.84,4.61,0.43,0.4066666666666667,-0.07,0.09
1972-07-01,0.29,0.92,0.62,1.26,-2.08,0.8,0.7166666666666667,-1.72,1.09,-0.46,0.05,-2.01,0.79,-0.07,1.1,0.71,3.67,0.1,0.77,0.36,0.03
1972-10-01,-2.43,1.92,1.88,0.93,0.14,3.0,1.2433333333333334,0.77,0.57,-1.03,0.08,0.14,-0.11,0.0,1.52,2.2,5.64,0.8,0.6,0.62,0.24
1973-01-01,1.63,2.38,1.4,1.68,0.62,2.76,1.1566666666666667,0.84,4.39,-1.1,0.08,0.45,0.58,0.18,0.49,1.97,4.46,0.79,0.5233333333333333,0.22,0.49
1973-04-01,2.72,-0.45,1.18,1.17,-0.66,0.52,0.1633333333333334,-0.59,3.24,0.73,0.09,-0.61,1.9,-0.06,-0.69,1.74,-0.11,-1.23,0.43,0.07,0.47
1973-07-01,-2.44,-0.33,0.31,0.06,-1.46,-0.24,0.09666666666666666,-1.0,-2.67,0.69,0.07,-1.47,0.75,0.01,0.37,0.73,0.83,-0.97,0.43,0.46,0.35
1973-10-01,3.42,-0.84,0.42,1.34,0.09,-0.62,0.12,0.63,2.8,-0.21,0.08,0.21,1.12,-0.12,-0.32,0.36,-0.7,-0.99,0.023333333333333345,0.55,-0.15
1974-01-01,-2.76,-0.8,0.02,0.37,0.95,-1.4,-0.24333333333333326,1.52,-4.15,0.98,0.01,0.48,1.35,0.46,-1.09,-0.06,-2.1,-1.34,-0.01,0.57,-0.09
1974-04-01,0.63,0.19,-0.05,1.51,-0.14,-0.87,-0.19666666666666666,0.43,-0.24,-1.65,0.03,0.31,-0.14,-0.46,-0.54,-0.09,0.9,-0.78,0.45,0.58,-0.06
1974-07-01,-2.7,0.21,0.15,-1.81,0.28,-1.09,-0.25000000000000006,0.2,-3.79,0.59,0.06,-0.5,-1.22,0.79,0.2,-0.48,1.08,-0.61,0.20000000000000004,-0.08,-0.69
1974-10-01,3.92,-3.3,-1.1,0.85,0.42,-3.62,-1.2700000000000002,0.45,0.29,0.35,0.0,0.12,1.2,0.3,-1.48,-1.28,-3.48,-2.34,0.51,0.03,-0.18
1975-01-01,-7.92,0.69,-1.94,0.24,-0.4,-3.65,1.37,1.03,-11.57,3.46,-0.04,-0.24,3.7,-0.16,0.17,-2.78,2.06,-0.88,0.5499999999999999,1.44,-0.8
1975-04-01,-1.2,0.64,-0.53,-1.01,-0.39,-0.7,1.0833333333333333,-0.74,-1.9,2.48,-0.04,-0.54,1.47,0.16,1.84,-1.14,4.05,0.44,0.7600000000000001,-0.35,-0.57
1975-07-01,3.01,2.08,0.32,-0.55,1.1,1.53,0.38000000000000017,1.75,4.54,-2.26,0.1,1.06,-2.8,0.04,0.84,0.5,3.55,1.03,-0.13333333333333333,0.64,0.09
1975-10-01,0.56,1.0,0.36,1.76,0.16,1.22,0.33666666666666667,0.82,1.78,-1.51,0.16,-0.04,0.25,0.19,-0.2,0.53,2.65,0.69,0.63,0.66,0.01
1976-01-01,3.73,1.75,0.3,-0.22,-0.38,2.53,0.47000000000000003,0.18,6.26,-1.84,0.28,-0.35,-2.06,-0.03,1.66,0.96,4.92,1.57,0.48333333333333334,0.56,0.38
1976-04-01,1.72,0.16,0.45,0.31,-0.13,1.01,0.09666666666666661,-0.98,2.73,-1.33,0.18,-0.11,-1.02,-0.02,1.23,0.58,2.23,0.44,0.3033333333333333,-0.85,-0.05
1976-07-01,-0.46,0.4,0.68,0.92,0.08,0.71,0.18000000000000002,-0.24,0.25,-1.3,0.17,0.05,-0.38,0.02,0.62,1.0,2.57,-0.29,0.5533333333333333,-0.31,0.14
1976-10-01,-2.62,0.57,0.74,0.33,0.11,3.1,0.30666666666666664,-0.02,0.49,-1.08,0.13,-0.07,-0.75,0.18,0.86,0.92,3.21,2.19,0.5133333333333333,-0.14,0.04
