Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Residual,Services,Structures
1973-07-01,29975.0,,,,6087573.0,1238397.0,6092301.0,,,5951722.0,,,141341.0,-171722.5,4041937.0,1130165.0
1973-10-01,69558.0,,,,6095833.0,1270102.0,6150131.0,,,6010458.0,,,140505.0,-147893.0,4055300.0,1105256.0
1974-01-01,33922.0,,,,6088037.0,1247864.0,6097258.0,,,5959345.0,,,138759.0,-160381.5,4073685.0,1071773.0
1974-04-01,44484.0,,,,6093842.0,1250135.0,6111751.0,,,5974747.0,,,137904.0,-161475.0,4099414.0,1058578.0
1974-07-01,14232.0,,,,6076527.0,1227408.0,6053978.0,,,5917503.0,,,137335.0,-173587.5,4123642.0,1013322.0
1974-10-01,52492.0,,,,5990587.0,1220680.0,6030464.0,,,5895113.0,,,136229.0,-160438.0,4170151.0,947894.0
1975-01-01,-21151.0,,,,6033674.0,1175744.0,5957035.0,,,5823188.0,,,134710.0,-207371.0,4215111.0,925434.0
1975-04-01,-37094.0,,,,6092164.0,1184442.0,5999610.0,,,5865953.0,,,134566.0,-207280.0,4270933.0,903335.0
1975-07-01,-5930.0,,,,6149987.0,1226010.0,6102326.0,,,5967094.0,,,136181.0,-184481.0,4267057.0,936488.0
1975-10-01,387.0,,,,6225338.0,1242189.0,6184530.0,,,6047023.0,,,138454.0,-187502.5,4307511.0,968639.0
1976-01-01,39195.0,,,,6311376.0,1283939.0,6323649.0,,,6183150.0,,,141469.0,-173221.0,4331994.0,1027236.0
1976-04-01,58961.0,,,,6332143.0,1303773.0,6370025.0,,,6228425.0,,,142574.0,-161237.5,4353694.0,1013954.0
1976-07-01,53269.0,,,,6374739.0,1314704.0,6404895.0,,,6261833.0,,,144022.0,-158671.0,4388942.0,995478.0
1976-10-01,19461.0,,,,6462549.0,1307900.0,6451177.0,,,6307033.0,,,145109.0,-179590.0,4430205.0,1041420.0
1977-01-01,33147.0,,,,6525206.0,1324301.0,6527703.0,,,6381860.0,,,146820.0,-180901.0,4470998.0,1063555.0
1977-04-01,49461.0,,,,6627707.0,1355598.0,6654466.0,,,6506424.0,,,149053.0,-177355.0,4493378.0,1137497.0
1977-07-01,86816.0,,,,6699631.0,1399295.0,6774457.0,,,6624690.0,,,150818.0,-157576.5,4545498.0,1132828.0
1977-10-01,45665.0,,,,6754541.0,1391707.0,6774592.0,,,6623044.0,,,152567.0,-170501.0,4574925.0,1123348.0
1978-01-01,54392.0,,,,6761879.0,1382973.0,6796260.0,,,6642668.0,,,154592.0,-179256.0,4628214.0,1123574.0
1978-04-01,53511.0,,,,7025474.0,1463097.0,7058920.0,,,6902119.0,,,157878.0,-165200.0,4683320.0,1222838.0
1978-07-01,54536.0,,,,7091794.0,1473635.0,7129915.0,,,6971022.0,,,159976.0,-169133.0,4714453.0,1263680.0
1978-10-01,64839.0,,,,7184544.0,1507033.0,7225750.0,,,7064647.0,,,162198.0,-163494.0,4741647.0,1280425.0
1979-01-01,49046.0,,,,7207844.0,1513401.0,7238727.0,,,7075421.0,,,164383.0,-157062.0,4784063.0,1237223.0
1979-04-01,55490.0,,,,7208606.0,1505889.0,7246454.0,,,7081375.0,,,166143.0,-164710.0,4804589.0,1247754.0
1979-07-01,20445.0,,,,7313518.0,1526870.0,7300281.0,,,7133022.0,,,168324.0,-165831.5,4801394.0,1269997.0
